Reklamos skleidėjo rekvizitai:,,,Leidimo Nr.,Leidimas galioja,,Reklaminio įrenginio,,Reklamos tipas ir tekstas,Reklaminio įrenginio projekto reg. Nr.,Reklamos plotas kv. m,Rekl. įrenginio plokštumų skaičius
juridinio asmens (j. a.) pavadinimas (fizinio asmens vardas ir pavardė),j. a. kodas,j. a. buveinė,,nuo,iki,"įrengimo adresas, vieta ",miesto dalis Kaune,,,,
UAB „Volmita“,302804362,"Veiverių g. 134, Kaunas",29-24-1892,10/13/2015,10/5/2020,Veiverių g. 134,Kazliškiai,Iškaba: „Plovykla  Paslaugos  Kainos (ant pastato)  Paslaugos (ant tvoros)“,70-13-1070,3.83,
UAB „BALT SOLUTION“,302805927,"Pylimo g. 41-12, Vilnius",29-24-1300,6/15/2018,6/15/2019,A. Juozapavičiaus pr. 75,Žemieji Šančiai,Iškaba: „Kinų maisto virtuvė  Krištolinė Kinija“,70-13-669,3.304,
UAB „VAIDAROLA“,302806712,"Raudondvario pl. 237, Kaunas",29-24-2713,10/17/2014,3/2/2019,Raudondvario pl. 150,Veršvai,"Komercinė nuoroda: „VAIDAROLA  Audi, VW dalys (2 vnt.)“",70-13-2525,"1,8",
UAB Sauliaus Vikšraičio plastinės chirurgijos centras,302809719,"Pilupėnų g. 2A, Kaunas",29-24-852,4/4/2016,3/23/2021,Savanorių pr. 75,Dainava,Iškaba: „Sauliaus Vikšraičio plastinės chirurgijos centras  Logotipas“,70-13-312,2.66,
UAB „N33“,302810098,"Ukmergės g. 22, Panevėžys",29-24-1421,6/10/2016,6/1/2021,E. Ožeškienės g. 4,Senamiestis,"Iškaba: „Bongai.lt, kaljanai“",70-13-720,0.85,
UAB „SLR GROUP“,302810162,"Savanorių pr. 363A, Kaunas",29-24-1931,9/25/2017,9/24/2018,Elektrėnų g. 1G,Naujasodis,Komercinė nuoroda: „Soliris  Lubricants  Q8 Oils  Prekyba alyva ir tepalais“,70-13-1038,10,
UAB ELANIS,302812551,"A. ir J. Gravrokų g. 7-3, Kaunas",29-24-18,1/7/2014,12/10/2018,Draugystės g. 17,Naujasodis,"Iškaba: „Elanis  Plėvelės stiklams  Automobilio stiklų tamsinimas  Plėvelė namams ir biurams: Veidrodinė nuo saulės  Apsauginė nuo įsilaužimo  Dekoratyvinė, matinė, fotografinė  “",70-13-1797,5.71,
UAB „Polimeta“,302818796,"Romainių g. 109, Kaunas",29-24-2085,11/24/2017,11/23/2018,Ateities pl. 32,Palemonas,"Komercinė nuoroda: „Polimeta  Perkame juodojo ir spalvotojo metalo laužą  8 611 44 404, (8 37) 44 14 14, 300 m Ateities pl. 34  (dvipusis)“",70-13-725,6,
UAB „Polimeta“,302818796,"Romainių g. 109, Kaunas",29-24-316,2/19/2018,2/19/2019,Drobės g. 25,Žemieji Šančiai,Komercinė nuoroda: „Polimeta  Perkame juodojo ir spalvotojo metalo laužą  “,70-13-124,7.904,
UAB „Baltoptik“,302820854,"Draugystės g. 21, Kaunas",29-24-1517,5/16/2014,5/15/2019,Laisvės al. 83,Naujamiestis,Iškaba: „Fielmann  Optiika  Darbo laikas  Fielmann “,70-13-1348,1.72,
UAB „Baltoptik“,302820854,"Draugystės g. 21, Kaunas",29-24-1630,5/29/2014,5/28/2019,Vytauto pr. 14,Naujamiestis,Iškaba: „Fielmann  Optiika  Darbo laikas  Fielmann (užrašai ant vitrinų)“,70-13-1349,8.424,
UAB „Baltoptik“,302820854,"Draugystės g. 21, Kaunas",29-24-552,3/15/2017,3/15/2019,Savanorių pr. 172,Žaliakalnis,Iškaba: „OPTIKA“,70-13-151,1.68,
UAB „Baltoptik“,302820854,"Draugystės g. 21, Kaunas",29-24-912,4/26/2017,8/18/2019,Savanorių pr. 172,Žaliakalnis,Iškaba: „Odontologijos kabinetas  Registracija  Optika  Vaikų akių gydytojas“,70-13-2068,2.4,
UAB „DIO VERSLAS“,302821187,"Sielos g. 5, Pyplių k., Kauno r. ",29-24-1923,10/17/2017,9/11/2022,Putvinskio g. 38,Naujamiestis,Iškaba: „DOMINI  Grožio salonas  “,70-13-1285,1.2,
UAB „DIO VERSLAS“,302821187,"Sielos g. 5, Pyplių k., Kauno r. ",29-24-1924,9/14/2017,9/15/2018,Putvinskio g. 38,Naujamiestis,Komercinė nuoroda: „DOMINI  Grožio salonas  Putvinskio g. 38“,70-13-1286,0.8,
UAB „Kuraveta“,302821543,"Islandijos pl. 95-57, Kaunas",29-24-3106,11/28/2014,11/17/2019,Romainių g. 52,Romainiai,"Iškaba: „Kuraveta  Veterinarijos klinika  Gydykla, prekės gyvūnams“",70-13-2845,1.98,
UAB „Kuraveta“,302821543,"Islandijos pl. 95-57, Kaunas",29-24-1968,1/10/2018,11/19/2019,Romainių g. 52,Romainiai,"Komercinė nuoroda: „Kuraveta  Veterinarijos klinika   Prekės gyvūnams, kirpykla“",70-13-1005,1.25,
UAB „Kuraveta“,302821543,"Nemuno g. 4, Mitkūnų k. , Kauno r.",29-24-585,3/17/2017,3/6/2022,Marių g. 52,Romainiai,"Komercinė nuoroda: „Kuraveta  Veterinarijos klinika   Prekės gyvūnams, kirpykla“",70-13-180,1.488,
UAB „Ramus sekmadienis“,302822951," Gerosios Vilties g. 6-1, Vilnius",29-24-1398,6/28/2018,6/28/2019,Taikos pr. 2,Žaliakalnis,Iškaba: „Tatuiruotės  Mėlyna lapė“,70-13-697,2.07,
UAB „Buitineta“,302825214,"Islandijos pl. 95-57, Kaunas",29-24-1718,11/22/2013,11/14/2018,Savanorių pr. 138,Žaliakalnis,"Iškaba: „Baldai, buitinė technika  MS baldai www.ms-baldai.lt   Buitineta www.buitineta.lt  Dirbame ir šeštadieniais  Darbo laikas “",70-13-1472,13.32,
UAB „Buitineta“,302825214,"Islandijos pl. 95-57, Kaunas",29-24-1955,9/21/2016,9/8/2021,Draugystės g. 19,Naujasodis,Iškaba: „Buitineta “,70-13-993,0.75,
UAB „Buitineta“,302825214,"Islandijos pl. 95-57, Kaunas",29-24-1956,9/21/2016,9/8/2021,Draugystės g. 19,Naujasodis,Iškaba: „MS baldai “,70-13-992,1.05,
UAB „Donerga“,302829077,"Maironio g. 11, Kaunas",29-24-1613,5/27/2014,5/26/2019,Maironio g. 11,Naujamiestis,Iškaba: „Maironio11  Verslo centras  Informacinė lenta su įmonių pavadinimais“,70-13-1406,2.36,
UAB „ESTETUS KLINIKA“,302829878,"Europos pr. 122, Kaunas",29-24-2092,11/2/2015,10/14/2020,Tvirtovės al. 18,Kalniečiai,Iškaba: „Estetus klinika  Lazerinė dermatologija“,70-13-723,3.13,
UAB „VABALIS“,302831690,"Vytauto pr. 32, Kaunas",29-24-855,5/8/2018,5/7/2019,Pramonės pr. 6A,Naujasodis,Komercinė nuoroda: „Plovykla  “,70-13-415,"0,7",
UAB „VABALIS“,302831690,"Vytauto pr. 32, Kaunas",29-24-856,5/8/2018,5/7/2019,Pramonės pr. 6A,Naujasodis,Iškaba: „Plovykla  “,70-13-415,"2,2",
UAB „VABALIS“,302831690,"Vytauto pr. 32, Kaunas",29-24-857,5/8/2018,5/7/2019,Pramonės pr. 6A,Naujasodis,Iškaba: „Dujos (4 vnt.)  Dėmesio!  Pilant dujas taikoma 15 ct/l nuolaida“,70-13-416,"6,14",
UAB „Kauno metalas“,302835646,"M. Katiliškio g. 30, Kaunas",29-24-2249,10/24/2017,10/24/2019,Elektrėnų g. 8,Naujasodis,Komercinė nuoroda: „Metalo laužo supirktuvė“,70-13-1449,1.74,
UAB „Baldai4u“,302836940,"Raudondvario pl. 76, Kaunas",29-24-1042,5/12/2015,10/28/2018,Raudondvario pl. 76,Vilijampolė,Iškaba: „Virtuvės baldai4u (iškaba)  Virtuvės baldai4u (konsolė)  Virtuvės baldai (2 vnt.)“,70-13-1426,5.3,
UAB „Baldai4u“,302836940,"Raudondvario pl. 76, Kaunas",29-24-1639,7/19/2017,7/19/2018,Raudondvario pl. 76,Vilijampolė,Iškaba: „Virtuvės baldai4u  “,70-13-1091,1.296,
UAB „Baldai4u“,302836940,"Raudondvario pl. 76, Kaunas",29-24-1206,6/29/2018,6/28/2019,Raudondvario pl. 76,Vilijampolė,Iškaba: „Virtuvės baldai4u  Spintos  Biuro baldai“,70-13-956,3.04,
UAB „Baldai4u“,302836940,"Raudondvario pl. 76, Kaunas",29-24-1207,7/20/2018,6/28/2019,Raudondvario pl. 76,Vilijampolė,Iškaba: „Virtuvės baldai4u  “,70-13-1091,1.296,
UAB „KAUNO AUKSO MENĖ“,302842103,"Kovo 11-osios g. 31A, Kaunas",29-24-2317,8/21/2014,8/5/2019,Kovo 11-osios g. 31A,Gričiupis,"Iškaba: „Lombardas  Priimame auksą, sidabrą, buitinę techniką  Darbo laikas“",70-13-2155,1.82,
UAB „KAUNO AUKSO MENĖ“,302842103,"Kovo 11-osios g. 31A, Kaunas",29-24-1780,8/16/2016,8/6/2021,Kovo 11-osios g. 31A,Gričiupis,Iškaba: „UAB „KAUNO AUKSO MENĖ“  Lombardas  “,70-13-842,1.08,
UAB „Oleus Pharma“,302843493,"Laisvės al. 97-2, Kaunas",29-24-1387,6/27/2018,6/27/2019,Laisvės al. 97,Senamiestis,Iškaba: „1/5Q“,70-13-684,0.72,
UAB „Smart Business Agency“,302844257,"Islandijos pl. 95-57, Kaunas",29-24-1643,7/19/2017,11/12/2019,Birželio 23-osios g. 23A,Dainava,Iškaba: „Fiksuok.lt  Alkotesteriai  Registratoriai  8-18  Skambinti +370 658 001 66“,70-13-2824,3.28,
"BOUNTY BAY, UAB",302846137,"S. Daukanto g. 3-110, Kaunas",29-24-851,5/20/2018,5/20/2021,S. Daukanto g. 3,Naujamiestis,Iškaba: „BOUNTY BAY  Druskų kambarys  Masažas Grožio procedūros  Kirpykla“,70-13-421,"2,7",
UAB „Venda LT“,302855912,"Europos pr. 122, Kaunas",29-24-866,4/19/2015,3/25/2020,A. Juozapavičiaus pr. 33,Žemieji Šančiai,Iškaba: „Tegul kepa  Kepyklėlė “,70-13-364,1.92,
UAB „GINVISA“ ,302859501,"Savanorių pr. 258-3, Kaunas",29-24-2270,10/27/2016,10/18/2018,Baltijos g. 41B,Smėliai,Iškaba: „Oranžinis baras  Gėrimai  Kava  Užkandžiai  Visą parą  Oranžinis baras    0-24 (3 vnt.)“,70-13-1369,4.68,
UAB „Tomas Gold“,302861445,"Kuosų g. 21, Klaipėda",29-24-2060,7/21/2014,7/20/2019,Savanorių pr. 255,Dainava,Iškaba: „Tomas Gold  Logotipas“,70-13-1811,3.6,
UAB „Menar“,302864046,"Bijūnų g. 8, Klaipėda",29-24-759,3/24/2016,4/15/2019,Vytauto pr. 29,Naujamiestis,Iškaba: „menar logotipas  menar  Akademija“,70-13-282,2.49,
UAB „Akite“,302867423,"Taikos pr. 88A, Kaunas",29-24-1377,6/27/2018,7/17/2018,Prie P. Plechavičiaus g. 1,Gričiupis,Iškaba: „Šviežios sultys  Kebabai  “,70-13-738,2.825,
UAB „Akite“,302867423,"Taikos pr. 88A, Kaunas",29-24-1378,6/27/2018,2/29/2020,Prie Kovo 11-osios g. 22,Gričiupis,Iškaba: „Kebabai  Viščiukai  Sušiai  Kinų maistas  Liuks  Darbo laikas “,70-13-739,8.392,
UAB „MOTOKLINIKA“,302868429,"Kaunakiemio g. 5, Kaunas",29-24-590,3/7/2016,8/20/2018,Kaunakiemio g. 5,Naujamiestis,Iškaba: „MOTOKLINIKA (dvipusė konsolė)“,70-13-902,2.1,
UAB „Elmasto LT“,302876237,"Salotės g. 25D, Salotės k., Vilniaus r.",29-24-2405,12/7/2017,12/7/2018,Savanorių pr. 255,Kalniečiai,Iškaba: „goldenpoint“,70-13-2432,3.6,
UAB „ENOLA“,302880431,"Islandijos pl. 95-57, Kaunas",29-24-1120,9/10/2013,8/27/2018,Baltų pr. 21C,Smėliai,Iškaba: „9-23  Baras (2 vnt.)“,70-13-941,1.12,
UAB „Kristoma“,302883413,"Pienių g. 6-14, Kaunas",29-24-1308,5/25/2016,5/3/2021,Šv.Gertrūdos g. 10,Senamiestis,Iškaba: „Baras“,70-13-555,1.74,
UAB Baltic Diagnostic Service,302883915,"V. Krėvės pr. 104J, Kaunas",29-24-1319,6/16/2015,6/10/2020,V. Krėvės pr. 104J,Dainava,Iškaba: „BDS  Baltic Diagnostic Service  Automobilių diagnostikos ir serviso įranga“,70-13-693,0.72,
UAB Baltic Diagnostic Service,302883915,"V. Krėvės pr. 104J, Kaunas",29-24-2228,10/19/2016,10/4/2021,A. Stulginskio g. 41A,Dainava,Iškaba: „BDS  Baltic Diagnostic Service  Automobilių diagnostikos ir serviso įranga“,70-13-1066,2.6,
UAB MIND MODA,302892017,"Rytmečio g. 5A, Domeikavos k., Kauno r.",29-24-871,4/7/2016,3/30/2021,Vilniaus g. 44,Senamiestis,Iškaba: „Vilniaus g. 44“,70-13-390,0.3,
UAB „Banesta“,302892451,"L. Sapiegos g. 12, Kaunas",29-24-745,3/7/2014,3/5/2019,L. Sapiegos g. 12,Naujamiestis,Iškaba: „UAB „Banesta“  Kadastriniai matavimai  Geodeziniai matavimai  Sklypų formavimas ir pertvarkymas“,70-13-899,0.29,
"Permanent Makeup of Baltics, UAB",302893279,"Pašilės g. 54-21, Kaunas",29-24-246,1/28/2016,1/20/2021,Savanorių pr. 139,Žaliakalnis,Iškaba: „Ilgalaikio grožio klinika“,70-13-42,1.9,
UAB „Dangaus pupos“,302894185,"Romainių g. 57V, Kaunas",29-24-1418,10/25/2013,9/30/2018,Laisvės al. 88,Naujamiestis,Iškaba: „Rūta  Anno 1913 (dvipusė konsolė)   Rūta  Anno 1913 (markizė)“,70-13-1234,3.54,
UAB „Dangaus pupos“,302894185,"Romainių g. 57V, Kaunas",29-24-1562,5/21/2014,5/4/2019,M. Daukšos g. 20,Senamiestis,Iškaba: „Rūta  Anno 1913  UAB  „Rūta“  Šokoladas  Saldainiai  Darbo laikas“,70-13-1386,1.5,
UAB „Dangaus pupos“,302894185,"Kruosto g. 31, Kaunas",29-24-1774,8/16/2017,7/31/2022,S. Daukanto g. 21,Senamiestis,Iškaba: „Dangaus pupos“,70-13-1037,0.96,
UAB „Dangaus pupos“,302894185,"Kruosto g. 31, Kaunas",29-24-2380,11/17/2017,11/5/2022,Pramonės pr. 16,Naujasodis,"Iškaba: „Dangaus pupos  Darbo laikas  Skanėstai, kuriais didžiuojamės  Prekių ženklai“",70-13-1507,4.56,
UAB  EME Baltic,302894228,"K. Baršausko g. 53-7, Kaunas",29-24-654,3/17/2016,2/21/2021,Vytauto pr. 21,Petrašiūnai,Iškaba: „Pepper pizza&grill“,70-13-191,1.77,
Best Servis UAB,302894349,"Žalioji g. 11-46, Garliava, Kauno r.",29-24-2434,11/22/2016,11/9/2021,Jonavos g. 6,Senamiestis,Komercinis stendas (komercinė reklama): „AEG Kelionių agentūra best servis“,70-13-1229,1.82,
UAB „Dandeco Group“,302897854,"Energetikų g. 8, Kaunas",29-24-1331,5/29/2017,5/22/2022,Pramonės pr. 4D,Gričiupis,Iškaba: „Grindų dangos. DANDECO GROUP“,70-13-839,2.925,
UAB „Ievos maisto tarnyba“,302898721,"Islandijos pl. 95-57, Kaunas",29-24-1230,5/19/2016,5/11/2021,A. Jakšto g. 6,Senamiestis,Iškaba: „Bistro“,70-13-604,1.05,
UAB „Vailit“,302899225,"Keršiškių k. 1, Šakių r.",29-24-2148,10/11/2016,9/28/2021,S. Daukanto g. 8,Naujamiestis,Iškaba: „VR Virtuali realybė“,70-13-1049,0.86,
UAB „Tyretra“,302901676,"Žeimenos g. 6C, Kaunas",29-24-898,5/26/2018,1/13/2019,Ateities pl. 50B,Palemonas,Iškaba: „Tyretra  Padangų servisas  Good year  Dunlop  Fulda  sava  +370 698 160 46  Darbo laikas“,70-13-151,7.87,
UAB „Tyretra“,302901676,"Žeimenos g. 6C, Kaunas",29-24-899,5/26/2018,1/13/2019,Ateities pl. 50B,Palemonas,Iškaba: „Tyretra  Padangų servisas  Good year  Dunlop  Fulda  sava  +370 698 160 46“,70-13-152,5.86,
UAB „Vero Coffee House“,302901765,"Partizanų g. 27G-44, Kaunas",29-24-2594,2/20/2018,9/15/2018,Maironio g. 7,Senamiestis,"Iškaba: „VERO COFFEE HOUSE (2 vnt.) TIKROS KAVOS NAMAI (1 vnt.) VERO COFFEE HOUSE (konsolė, 2 vnt.) “",70-13-1588,4.47,
UAB „Vero Coffee House“,302901765,"Partizanų g. 27G-44, Kaunas",29-24-1270,6/13/2018,6/13/2020,A. Juozapavičiaus pr. 90,Senamiestis,Iškaba: „VERO COFFEE HOUSE TIKROS KAVOS NAMAI “,70-13-327,2.88,
MB „Topdenta“ ,302902454,"Užuovėjos g. 3, Kaunas",29-24-911,3/20/2014,3/19/2019,Užuovėjos g. 3,Sargėnai,Iškaba: „TopDenta  Odontologijos klinika  Tel. 8 617 19 398  TopDenta  www.topdenta.lt  Odontologijos klinika  (3 vnt.)“,70-13-920,2.06,
UAB „Raidė ir forma“,302903314,"Vasario 16-osios g. 6-4, Kaunas",29-24-1838,8/29/2017,8/28/2018,Vasario 16-osios g. 6,Freda,Iškaba: „www.rforma.lt  Antspaudai  Darbo laikas  Raidė ir forma  www.rforma.lt  Vizitinės kortelės  Lipdukai  Spalvotas spausdinimas“,70-13-1669,2.19,
UAB Gitoma,302905087,"Vilniaus g. 23-7, Kaunas",29-24-1642,7/21/2017,7/11/2022,Jonavos g. 254,Eiguliai,Iškaba: „Gitoma (2 vnt.: ant pastato ir statinio)“,70-13-1076,4.07,
UAB „Romainių autoservisas“,302909139,"Chodkevičių g. 25, Kaunas",29-24-2323,11/27/2017,11/26/2018,Romainių g. 76,Romainiai,Iškaba: „Romainių autoservisas  100 m  Tel. 8 698 44 615“,70-13-2622,2,
UAB CHARM & LUXURY,302909160,"Gailutės g. 60, Kaunas",29-24-474,3/6/2017,2/20/2022,Tvirtovės al. 88,Žaliakalnis,Iškaba: „NOSIS“,70-13-135,0.54,
MB „Optikmeda“ ,302910141,"Gričiupio g. 22-16, Kaunas",29-24-854,8/1/2013,7/18/2018,P. Lukšio g. 58,Eiguliai,Iškaba: „Optika“,70-13-713,1.03,
MB „Optikmeda“ ,302910141,"Gričiupio g. 22-16, Kaunas",29-24-2573,9/22/2014,8/25/2019,V. Krėvės pr. 97,Dainava,Iškaba: „Optika  Optikmeda“,70-13-2349,1.62,
UAB DOVILTA,302910935,"Dumburio g. 14, Kaunas",29-24-1670,8/21/2017,8/13/2020,I. Kanto g. 21,Senamiestis,Iškaba: „tedo.lt  Kelionės (2 vnt.)“,70-13-871,1.28,
UAB „R.E. Experts“,302910967,"J. Žemgulio g. 25, Kaunas",29-24-266,2/13/2015,1/26/2020,K. Donelaičio g. 78,Naujamiestis,Iškaba: „Capital Kaunas  Logotipas“,70-13-159,1.59,
UAB „R.E. Experts“,302910967,"J. Žemgulio g. 25, Kaunas",29-24-1646,8/25/2015,8/17/2020,Savanorių pr. 241,Naujamiestis,Iškaba: „Capital Logotipas  Capital Vertinimas  Capital credit“,70-13-865,7.26,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1142,9/16/2013,8/15/2018,Savanorių pr. 177,Žaliakalnis,Iškaba: „ERGO  Draudimo paslaugos“,70-13-856,0.75,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1143,9/16/2013,8/15/2018,Savanorių pr. 192,Žaliakalnis,Iškaba: „ERGO  Draudimo paslaugos“,70-13-857,2.44,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1144,9/16/2013,8/15/2018,Statybininkų g. 7,Eiguliai,Iškaba: „ERGO  Draudimo paslaugos“,70-13-854,15.24,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1145,9/16/2013,8/15/2018,Raudondvario pl. 234,Lampėdžiai,Iškaba: „ERGO  “,70-13-848,1,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1146,9/16/2013,8/15/2018,Raudondvario pl. 234,Lampėdžiai,Iškaba: „ERGO  (2 vnt.)“,70-13-849,1.16,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1147,9/16/2013,8/15/2018,Raudondvario pl. 234,Lampėdžiai,Iškaba: „ERGO  “,70-13-850,0.77,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1148,9/16/2013,8/15/2018,Raudondvario pl. 234,Lampėdžiai,Iškaba: „ERGO  “,70-13-851,0.09,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1149,9/16/2013,8/15/2018,Raudondvario pl. 234,Lampėdžiai,Iškaba: „ERGO  Draudimo paslaugos (2 vnt.)“,70-13-852,0.15,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1150,9/16/2013,8/15/2018,Raudondvario pl. 234,Lampėdžiai,Iškaba: „ERGO  “,70-13-853,0.37,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1151,9/16/2013,8/29/2018,Veiverių g. 134,Kazliškiai,Iškaba: „ERGO  ERGO  Draudimo paslaugos (3 vnt.)“,70-13-964,16.29,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1152,9/16/2013,8/29/2018,Veiverių g. 61A,Birutė,Iškaba: „ERGO  “,70-13-962,0.75,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1153,9/16/2013,8/29/2018,Veiverių g. 61A,Birutė,Iškaba: „ERGO  “,70-13-963,0.32,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1154,9/16/2013,8/15/2018,Bijūnų g. 16 / Varnių g. 48B,Vilijampolė,Iškaba: „ERGO  Draudimo paslaugos “,70-13-858,1.14,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1155,9/16/2013,8/15/2018,Žemaičių pl. 25,Smėliai,Iškaba: „ERGO  ERGO  Draudimo paslaugos “,70-13-855,0.78,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1343,10/7/2013,9/30/2018,K. Donelaičio g. 71,Naujamiestis,Iškaba: „ERGO  Draudimo paslaugos “,70-13-1249,0.06,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-1344,10/7/2013,9/30/2018,Putvinskio g. 49,Naujamiestis,Iškaba: „ERGO  “,70-13-1250,0.474,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-2452,12/21/2016,12/2/2018,Pramonės pr. 19,Gričiupis,Iškaba: „ERGO  (3 vnt.)“,70-13-1733,15.11,
ERGO Insurance SE Lietuvos filialas,302912288,"Geležinio Vilko g. 6A, Vilnius",29-24-585,3/27/2018,3/24/2023,Kuršių g. 7,Milikoniai,Iškaba: „ERGO  (2 vnt.)“,70-13-234,3.203,
MG „Miglutė“,302913956,"Ukmergės g. 34-69, Kaunas",29-24-419,2/5/2014,2/2/2019,Ukmergės g. 34A,Eiguliai,Iškaba: „Gėrimai  Baras visą parą“,70-13-167,3.47,
UAB „Ditės grožio namai“ ,302915957,"S. Daukanto g. 19, Kazlų Rūda",29-24-1456,10/18/2013,10/5/2018,Jonavos g. 60,Žaliakalnis,Iškaba: „Ditė  Grožio namai“,70-13-1067,"6,3",
UAB „Tinklinio arena“,302920388,"Europos pr. 122, Kaunas",29-24-1683,7/25/2017,7/24/2018,Kaunakiemio g. 5,Naujamiestis,Iškaba: „Sporto arena  Paplūdimio aikštelės  Sporto salės“,70-13-1098,16.428,
UAB „Tinklinio arena“,302920388,"Europos pr. 122, Kaunas",29-24-41,1/11/2018,9/30/2018,Kaunakiemio g. 5,Naujamiestis,Komercinis stendas (komercinė reklama): „Smėlio arena“,70-13-670,29.25,
UAB „LAFIESTA“,302920420,"Taikos pr. 12, Kaunas",29-24-742,4/18/2018,4/10/2023,Taikos pr. 12,Žaliakalnis,Iškaba: „Talvtti  fresh and tasty“,70-13-365,"4,8",
MB „Ąžuolyno medicinos klinika“,302922268,"Varnių g. 28-45, Kaunas",29-24-2108,10/14/2017,10/13/2018,Prie Sporto g. 3 ir Vydūno al. 5 sankryžos,Žaliakalnis,Komercinė nuoroda: „Ąžuolynas  Sporto g. 3“,70-13-937,6.9,
UAB „Mondelez Lietuva Production“,302923103,"Taikos pr. 88, Kaunas",29-24-1296,10/1/2013,9/4/2018,Taikos pr. 88,Naujasodis,Komercinė nuoroda: „Mondelez International“,70-13-1008,4,
UAB „Mondelez Lietuva Production“,302923103,"Taikos pr. 88, 51182, Kaunas",29-24-274,2/12/2018,1/22/2019,Taikos pr. 88,Naujasodis,Komercinė nuoroda: „Išnuomojamos administracinės patalpos“,70-13-988,3.025,
UAB „Neivex“,302924034,"Didžioji g. 82-42, Kaunas",29-24-2112,10/3/2016,9/28/2021,Kęstučio g. 37,Naujamiestis,Iškaba: „Landera  grindys“,70-13-1056,1.1,
"J. van VLIET (kaunas) Cash & Carry, UAB",302924397,"Meistrų g. 14, Vilnius",29-24-421,2/22/2016,10/16/2018,Kalvarijos g. 38,Kazliškiai,"Iškaba: „J. van VLIET (kaunas) Cash & Carry, UAB  Darbo laikas  Telefonas  www.jvanvliet.lt“",70-13-1346,7.19,
AJAX TRAVEL UAB,302925727,"Lazūnų g. 23, Kaunas",29-24-481,3/6/2017,8/6/2018,Žemaičių g. 31 / Savanorių pr. 66,Žaliakalnis,Iškaba: „Tez tour“,70-13-1569,0.8,
AJAX TRAVEL UAB,302925727,"Lazūnų g. 23-2, Kaunas",29-24-482,3/6/2017,8/6/2018,Žemaičių g. 31 ,Žaliakalnis,Iškaba: „AJAX TRAVEL  Kelionių planavimo profesionalai“,70-13-1423,1.77,
UAB „AES GROUP“,302930496,"Pilies g. 12, Kaunas",29-24-1099,5/20/2015,5/10/2020,Pilies g. 12,Senamiestis,Iškaba: „Taboo  Loungle & night club  Pilies sodas Logotipas “,70-13-542,6.71,
UAB „de VAMP“,302930763,"Geležinio Vilko g. 20-44, Kaunas",29-24-1556,5/20/2014,5/11/2019,Savanorių pr. 192,Žaliakalnis,Iškaba: „de VAMP  Striptizo klubas  Club“,70-13-1381,"1,62",
UAB „de VAMP“,302930763,"Geležinio Vilko g. 20-44, Kaunas",29-24-1605,8/13/2015,8/9/2020,Maironio g. 28,Naujamiestis,Iškaba: „Atlantės  Striptizo klubas  Strip club“,70-13-839,1.7,
UAB „Smilius Smaližius“ ,302931609,"A. Mickevičiaus g. 46-5, Kaunas",29-24-1046,9/3/2013,8/20/2018,Vilniaus g. 15,Senamiestis,Iškaba: „Uoga  Frozen yogurt (šviesdėžė)“,70-13-897,1,
UAB „MALVIDA“,302931979,"Girstupio g. 9-9, Kaunas",29-24-2532,12/13/2017,12/13/2018,V. Krėvės pr. 49,Dainava,Iškaba: „Patata  Restoranėlis“,70-13-1628,1.44,
"BALTKAUNAS, MB",302932013,"Baltų pr. 79-37, Kaunas",29-24-446,3/2/2017,11/24/2018,E. Ožeškienės g. 6,Naujamiestis,Iškaba: „OTTO“,70-13-1646,1.08,
UAB „KK Fashion LT“,302932928,"Antano Tumėno g. 4, Vilnius",29-24-2671,12/29/2016,12/29/2019,Islandijos pl. 32,Eiguliai,Iškaba: „Springfield“,70-13-1372,1.313,
