Eil. Nr.,Lic. Nr.,Licencija galioja,,Licencijos turėtojo rekvizitai:,,,,Prekybos vietos,,Licencijos rūšis: verstis mažmenine prekyba,Prekybos alkoholiniais gėrimais laikas,Licencijos galiojimas sustabdytas,,Licencijos,,,Prekybos alkoholiniais gėrimais būdas
368,1759/10,2010-05-19,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Eiguliai,"kioskas prieš pastatą Savanorių pr. 371, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–20 val.,,,,,,išsinešti
369,1759/11,2010-05-20,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Dainava,"kioskas prie namo V. Krėvės pr. 65, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–20 val.,,,,,,išsinešti
370,1759/12,2010-05-20,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Naujamiestis,"kioskas prie pastato Vytauto pr. 14, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–20 val.,,,,,,išsinešti
371,1759/13,2010-05-20,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Gričiupis,"kioskas prie pastato Kovo 11-osios g. 22 / Chemijos g. 2, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–20 val.,,,,,,išsinešti
372,1759/14,2010-05-20,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Eiguliai,"kioskas prie namo P. Lukšio g. 27, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–20 val.,,,,,,išsinešti
373,1759/15,2010-05-20,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Naujamiestis,"kioskas prie pastato Vytauto pr. 79 / Kęstučio g. 1, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–20 val.,,,,,,išsinešti
374,1759/16,2010-05-20,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Dainava,"kioskas prie pastato V. Krėvės pr. 95, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–20 val.,,,,,,išsinešti
375,1759/17,2010-06-16,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Smėliai,"kioskas prie pastato Žemaičių pl. 23, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–20 val.,,,,,,išsinešti
376,1759/18,2010-06-16,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Žaliakalnis,"kioskas prie pastato Savanorių pr. 66, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–20 val.,,,,,,išsinešti
377,1759/19,2010-06-16,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Kalniečiai,"kioskas prie sankryžos Savanorių pr. / Algirdo g. 4, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–20 val.,,,,,,išsinešti
378,1759/20,2010-06-16,n,Uždaroji akcinė bendrovė „LIETUVOS SPAUDOS“ VILNIAUS AGENTŪRA,123640551,,,Dainava,"kioskas prie pastato Savanorių pr. 269, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–20 val.,,,,,,išsinešti
379,1759/21,2014-08-07,n,UAB „Reitan Convenience Lithuania“,123640551,,,Naujamiestis,"parduotuvės alkoholinių gėrimų skyrius, Vytauto pr. 24, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,išsinešti
380,1759/22,2015-09-15,n,UAB „Reitan Convenience Lithuania“,123640551,,,Naujamiestis,"parduotuvės alkoholinių gėrimų skyrius, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
381,506,1999-10-20,n,UAB „Rimi Lietuva“,123715317,,,Dainava,"specializuotas parduotuvės skyrius, Taikos pr. 81",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
382,506/2,2000-09-04,n,UAB „Rimi Lietuva“,123715317,,,Dainava,"specializuotas parduotuvės skyrius, Partizanų g. 134",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
383,506/3,2000-09-17,n,UAB „Rimi Lietuva“,123715317,,,Aukštieji Šančiai,"specializuotas parduotuvės skyrius, Prancūzų g. 81",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
384,506/4,2000-09-17,n,UAB „Rimi Lietuva“,123715317,,,Naujamiestis,"specializuotas parduotuvės skyrius, K. Donelaičio g. 44A",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
385,506/6,2001-08-07,n,UAB „Rimi Lietuva“,123715317,,,Dainava,"specializuotas parduotuvės skyrius, V. Krėvės pr. 43A",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
386,506/7,2001-08-07,n,UAB „Rimi Lietuva“,123715317,,,Eiguliai,"specializuotas parduotuvės skyrius, P. Lukšio g. 70",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
387,506/8,2004-09-21,n,UAB „Rimi Lietuva“,123715317,,,Dainava,"specializuotas parduotuvės skyrius, Savanorių pr. 346, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
388,506/10,2005-11-23,n,UAB „Rimi Lietuva“,123715317,,,Milikoniai,"specializuotas parduotuvės skyrius, Islandijos pl. 32, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
389,506/11,2005-11-30,n,UAB „Rimi Lietuva“,123715317,,,Milikoniai,"kavinė-baras, Islandijos pl. 32, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–24 val.,,,,,,gerti ten pat ir išsinešti
390,506/12,2006-01-24,n,UAB „Rimi Lietuva“,123715317,,,Kalniečiai,"specializuotas parduotuvės skyrius, Tvirtovės al. 12A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
391,506/13,2006-04-26,n,UAB „Rimi Lietuva“,123715317,,,Smėliai,"specializuotas parduotuvės skyrius, Baltų pr. 18 / Sembų g. 1, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
392,506/14,2006-05-09,n,UAB „Rimi Lietuva“,123715317,,,Naujasodis,"specializuotas parduotuvės skyrius, Pramonės pr. 14 (11F1p), Kaunas",alkoholiniais gėrimais,8–21 val.,,,,,,išsinešti
393,506/15,2006-12-18,n,Uždaroji akcinė bendrovė „RIMI LIETUVA“,123715317,,,Eiguliai,"specializuotas parduotuvės skyrius, Islandijos pl. 209A, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
394,506/17,2014-11-10,n,Uždaroji akcinė bendrovė „RIMI LIETUVA“,123715317,,,Smėliai,"parduotuvės alkoholinių gėrimų skyrius, Baltijos g. 58, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
395,506/18,2014-11-28,n,Uždaroji akcinė bendrovė „RIMI LIETUVA“,123715317,,,Gričiupis,"parduotuvės alkoholinių gėrimų skyrius, Studentų g. 19, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
396,506/19,2014-11-28,n,Uždaroji akcinė bendrovė „RIMI LIETUVA“,123715317,,,Eiguliai,"parduotuvės alkoholinių gėrimų skyrius, Savanorių pr. 321, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
397,506/20,2015-02-24,n,Uždaroji akcinė bendrovė „RIMI LIETUVA“,123715317,,,Freda,"parduotuvės alkoholinių gėrimų skyrius, Europos pr. 43, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
398,506/21,2015-06-15,n,Uždaroji akcinė bendrovė „RIMI LIETUVA“,123715317,,,Veršvai,"parduotuvės alkoholinių gėrimų skyrius, Raudondvario pl. 94B, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
399,506/22,2016-04-19,n,Uždaroji akcinė bendrovė „RIMI LIETUVA“,123715317,,,Romainiai,"parduotuvės alkoholinių gėrimų skyrius, Romainių g. 67C, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
400,506/23,2016-10-24,n,Uždaroji akcinė bendrovė „RIMI LIETUVA“,123715317,,,Žemieji Šančiai,"parduotuvės alkoholinių gėrimų skyrius, A. Juozapavičiaus pr. 11, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
401,506/24,2017-01-06,n,Uždaroji akcinė bendrovė „RIMI LIETUVA“,123715317,,,Naujamiestis,"parduotuvės alkoholinių gėrimų skyrius, Vytauto pr. 24, Kaunas",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
402,1096,2000-12-13,n,UAB „Presto“ prekyba,124239383,,,Dainava,"kavinė-baras, Pramonės pr. 29",alkoholiniais gėrimais,9–24 val.,,,,,,gerti ten pat ir išsinešti
403,1096/1,2004-01-09,n,UAB „Presto“ prekyba,124239383,,,Kalniečiai,"kavinė, Savanorių pr. 255",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
404,1096/2,2004-11-18,n,Uždaroji akcinė bendrovė „KAVINUKO PREKYBA“,124239383,,,Naujamiestis,"kavinė-baras, Laisvės al. 90, Kaunas",alkoholiniais gėrimais,7–24 val.,,,,,,gerti ten pat ir išsinešti
405,1096/3,2005-05-19,n,UAB „Presto“ prekyba,124239383,,,Naujamiestis,"specializuotas parduotuvės skyrius, Laisvės al. 90, Kaunas",alkoholiniais gėrimais,7–24 val.,,,,,,išsinešti
406,1096/4,2005-05-19,n,UAB „Presto“ prekyba,124239383,,,Kalniečiai,"specializuotas parduotuvės skyrius, Savanorių pr. 255, Kaunas",alkoholiniais gėrimais,7–24 val.,,,,,,išsinešti
407,1096/5,2005-05-19,n,UAB „Presto“ prekyba,124239383,,,Dainava,"specializuotas parduotuvės skyrius, Pramonės pr. 29, Kaunas",alkoholiniais gėrimais,7–24 val.,,,,,,išsinešti
408,1096/6,2007-04-06,n,Uždaroji akcinė bendrovė „KAVINUKO PREKYBA“,124239383,,,Naujamiestis,"specializuotas parduotuvės skyrius, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,išsinešti
409,2130,2011-10-12,n,Uždaroji akcinė bendrovė „VIDESTA“,124386839,,,Naujamiestis,"kavinė (2-10), Karaliaus Mindaugo pr. 50, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
410,2312,2013-12-18,n,UAB „Vilniaus alus“,124688862,,,Eiguliai,"alkoholinių gėrimų parduotuvė, P. Lukšio g. 70, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,išsinešti (gamyklos taroje ir pilstomą)
411,1295,2001-08-17,n,UAB „Vienas pasaulis“,125371014,,,Naujasodis,"parduotuvė (1-22), Technikos g. 18P","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–16 val.,,,,,,išsinešti
412,1674,2005-01-20,n,UAB „Vilniaus kooperacijos prekyba“,125392147,,,Naujamiestis,"specializuotas parduotuvės skyrius, Vytauto pr. 43, Kaunas",alkoholiniais gėrimais,8–21 val.,,,,,,išsinešti
413,1264,2001-06-28,n,UAB „Delano“,125542554,,,Dainava,"du barai picerijoje, Pramonės pr. 29",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
414,1264/1,2003-11-26,n,UAB „Delano“,125542554,,,Kalniečiai,"picerija „Can Can pizza“, Savanorių pr. 255",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
415,1264/4,2005-11-23,n,UAB „Delano“,125542554,,,Milikoniai,"picerija, Islandijos pl. 32, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
416,1264/5,2005-11-28,n,UAB „Delano“,125542554,,,Kazliškiai,"picerija, Veiverių g. 150B, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
417,1264/7,2007-03-29,n,UAB „DELANO“,125542554,,,Naujamiestis,"pirmas baras restorane, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
418,1264/8,2007-03-29,n,UAB „DELANO“,125542554,,,Naujamiestis,"antras baras restorane, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
419,1264/9,2007-03-29,n,UAB „DELANO“,125542554,,,Naujamiestis,"baras boulingo klube, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,6–5 val.,,,,,,gerti ten pat ir išsinešti
420,1264/10,2007-03-29,n,UAB „DELANO“,125542554,,,Naujamiestis,"baras picerijoje, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
421,1264/14,2012-08-21,n,UAB „DELANO“,125542554,,,Senamiestis,"picerija „Can Can pizza“, Laisvės al. 118, Kaunas",alkoholiniais gėrimais,8–23 val.,,,,,,gerti ten pat ir išsinešti
422,1264/15,2018-01-23,n,UAB „DELANO“,125542554,,,Žaliakalnis,"kavinė „CanCan pizza“, Jonavos g. 60, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje ir išsinešti
423,2406,2015-04-02,n,UŽDAROJI AKCINĖ BENDROVĖ „TAXILLUS“,125693079,,,Naujamiestis,"baras, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,vartoti vietoje
424,1633/2,2005-05-25,n,UŽDAROJI AKCINĖ BENDROVĖ „TECHNODESA“,125722239,,,Kalniečiai,"baras, Savanorių pr. 263A, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
425,1633/3,2014-04-08,n,Uždaroji akcinė bendrovė „TECHNODESA“,125722239,,,Eiguliai,"baras, Savanorių pr. 377A, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat
426,1881,2008-07-11,n,UŽDAROJI AKCINĖ BENDROVĖ „JKP NAMAI“,125937213,,,Senamiestis,"specializuota alkoholinių gėrimų prekybos įmonė, Vilniaus g. 34 / L. Zamenhofo g. 11 / Kurpių g. 11, Kaunas",alkoholiniais gėrimais,10–19 val.,,,,,,išsinešti
427,1697,2005-04-27,n,UAB „AJ šokoladas“,126243957,,,Kalniečiai,"specializuotas parduotuvės skyrius, Savanorių pr. 255, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,išsinešti
428,1697/1,2005-04-27,n,UAB „AJ šokoladas“,126243957,,,Gričiupis,"specializuotas parduotuvės skyrius, K. Baršausko g. 66A, Kaunas",alkoholiniais gėrimais,10–21 val.,,,,,,išsinešti
429,1883,2008-07-23,n,UAB „Itališkas skonis“,126282045,,,Naujamiestis,"kavinė, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
430,1883/1,2011-04-13,n,UAB „Itališkas skonis“,126282045,,,Milikoniai,"kavinė, Islandijos pl. 32, Kaunas",alkoholiniais gėrimais,10–22 val.,,,,,,gerti ten pat ir išsinešti
431,930,1999-05-12,n,UAB Kauno viešbutis,132003913,,,Naujamiestis,"baras ir mini barai viešbučio 201-216, 301-324, 401-425, 501-524 kambariuose, Laisvės al. 79",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
432,930/1,2003-12-10,n,UAB Kauno viešbutis,132003913,,,Naujamiestis,"restoranas, Laisvės al. 79",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
433,38,1997-08-01,n,UAB „Liuks“,132010498,,,Senamiestis,"restoranas „Europa“ ir mini barai viešbučio 101–112, 114–118, 201–212, 214–225, 301–312, 314–325, 401–412, 414–418, 501–508, 601, 602 kambariuose, J. Gruodžio g. 19/21",alkoholiniais gėrimais,8–4 val.,,,,,,gerti ten pat
434,1803,2007-02-13,n,Uždaroji akcinė bendrovė „Važiuoklė“,132042873,,,Birutė,"specializuotas parduotuvės skyrius, Sąnašos g. 5, Kaunas",alkoholiniais gėrimais,9–21 val.,,,,,,išsinešti
435,1108,2001-01-10,n,G. Vaitkevičienės įmonė „Vėtrungė“,132068590,,,Žaliakalnis,"specializuotas parduotuvės skyrius, M. Jankaus g. 24",alkoholiniais gėrimais,8–24 val.,,,,,,išsinešti
436,2184,2012-05-29,n,Uždaroji akcinė bendrovė kino teatras „Romuva“,132082597,,,Naujamiestis,"baras, Laisvės al. 54, Kaunas",alkoholiniais gėrimais,10–4 val.,,,,,,gerti ten pat
437,372/6,2009-09-30,n,AB „MV GROUP Production“,132082782,,,Naujamiestis,"degustacijos baras, K. Būgos g. 7, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
438,248,1997-07-28,n,UAB „MINALBA“,132171010,,,Dainava,"kavinė, V. Krėvės pr. 97",alkoholiniais gėrimais,8–22 val.,,,,,,gerti ten pat ir išsinešti
439,257/2,2001-01-17,n,UAB „Sruoga“,132179391,,,Žemieji Šančiai,"baras, M. K. Čiurlionio g. 16P",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
440,261/4,2006-09-20,n,V. Grockienės įmonė,132186770,,,Panemunė,"kioskas prie namo A. Smetonos al. 59, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
441,444/3,2006-03-23,n,UAB „Pegasas“,132203586,,,Žemieji Šančiai,"baras, M. K. Čiurlionio g. 18-7, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
442,64,1997-08-01,n,UAB „Kulniukas“,132275347,,,Naujamiestis,"kavinė, Vytauto pr. 19-3A",alkoholiniais gėrimais,8–23 val.,,,,,,gerti ten pat ir išsinešti
443,1363,2002-02-20,n,UAB „MKTO“,132288946,,,Naujamiestis,"baras, Vytauto pr. 12",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
444,1363/2,2004-12-03,n,UAB „MKTO“,132288946,,,Milikoniai,"baras, Žemaičių pl. 66, Kaunas",alkoholiniais gėrimais,7–21 val.,,,,,,gerti ten pat ir išsinešti
445,1363/3,2005-03-31,n,UAB „MKTO“,132288946,,,Naujasodis,"kavinė, Geltonosios galerijos 6 salė, Pramonės pr. 16B (1F1p), Kaunas",alkoholiniais gėrimais,8–21 val.,,,,,,gerti ten pat ir išsinešti
446,1363/4,2006-03-21,n,UAB „MKTO“,132288946,,,Eiguliai,"kavinė, P. Lukšio g. 60, Kaunas",alkoholiniais gėrimais,8–21 val.,,,,,,gerti ten pat ir išsinešti
447,1363/5,2009-11-18,n,UAB „MKTO“,132288946,,,Naujasodis,"kavinė, Rytinės galerijos 19 salėje, Pramonės pr. 16 (5F1B), Kaunas",alkoholiniais gėrimais,8–18 val.,,,,,,gerti ten pat ir išsinešti
448,509,1997-09-24,n,Elenos Liogienės įmonė,132325063,,,Žaliakalnis,"prekybinė patalpa 2-5, Perkūno al. 5","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
449,147/1,2001-01-17,n,Valentino Bruneizerio įmonė,132496228,,,Vilijampolė,"specializuotas parduotuvės skyrius, Linkuvos g. 22",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
450,1075,2000-08-30,n,UAB „ANA&ET“,132504212,,,Gričiupis,"kavinė-baras, Taikos pr. 28",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
451,1075/1,2006-06-07,n,A. Galstian įmonė,132504212,,,Naujamiestis,"kavinė-baras, V. Putvinskio g. 48, Kaunas",alkoholiniais gėrimais,8–6 val.,,,,,,gerti ten pat ir išsinešti
452,1171,2001-03-01,n,UAB „Liana“,132530335,,,Senamiestis,"baras „Kavos klubas“, M. Valančiaus g. 19",alkoholiniais gėrimais,9–24 val.,,,,,,gerti ten pat ir išsinešti
453,1043/1,2001-05-30,n,O. Mitrulevičienės įmonė,132558975,,,Eiguliai,"kioskas, Savanorių pr. 375, UAB „Vekšis“ turgavietėje","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–21 val.,,,,,,išsinešti
454,545/1,2001-01-10,n,Domicelės Kmieliauskienės įmonė,132564533,,,Amaliai,"specializuotas parduotuvės skyrius, Ateities pl. 15",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
455,545/2,2010-05-12,n,Domicelės Kmieliauskienės įmonė,132564533,,,Petrašiūnai,"kioskas prieš pastatą T. Masiulio g. 9, Kaunas","alumi, alaus mišiniais su nealkoholiniais gėrimais, natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
456,611/1,1999-10-01,n,UAB „Bistroma“ ,132578472,,,Žaliakalnis,"restoranas ir mini barai viešbučio kambariuose, Žalioji g. 38A / Raseinių g. 25",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
457,611/2,2008-02-28,n,Uždaroji akcinė bendrovė „Bistroma“,132578472,,,Naujamiestis,"kavinė-baras, Laisvės al. 71, Kaunas",alkoholiniais gėrimais,nenurodytas,,,,,,gerti ten pat ir išsinešti
458,1721,2005-09-08,n,UAB „Vaiva“,132581073,,,Dainava,"paviljonas prie pastato Partizanų g. 54, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
459,1487,2003-02-13,n,UAB „Totus“,132581988,,,Kalniečiai,"kavinė, Mituvos g. 5",alkoholiniais gėrimais,8–2 val.,,,,,,gerti ten pat ir išsinešti
460,578,1997-10-23,n,J. Kiznio įmonė „Pušynas“,132584564,,,Linkuva,"kavinė, Bačkonių g. 6A",alkoholiniais gėrimais,7–22 val.,,,,,,gerti ten pat ir išsinešti
461,1077/1,2001-04-11,n,UAB „Kauno švara“,132616649,,,Eiguliai,"baras, S. Žukausko g. 5 / Statybininkų g. 3",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
462,1071/1,2001-08-01,n,Julijonos Prokopienės įmonė „Vyšnelė“,132636299,,,Vilijampolė,"specializuotas parduotuvės skyrius, Panerių g. 71A",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
463,1071/2,2003-02-06,n,Julijonos Prokopienės įmonė „Vyšnelė“,132636299,,,Vilijampolė,"baras, Panerių g. 71A","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",7–22 val.,,,,,,gerti ten pat ir išsinešti
464,804/1,2001-08-01,n,V. Sado firma „Vaidolina“,132636712,,,Kalniečiai,"kavinė-baras, Jonavos g. 168",alkoholiniais gėrimais,10–23 val.,,,,,,gerti ten pat ir išsinešti
465,136/1,2001-08-01,n,Rasos Obelenienės įmonė,132656743,,,Kalniečiai,"baras, Sukilėlių pr. 42A",alkoholiniais gėrimais,8–22 val.,,,,,,gerti ten pat ir išsinešti
